E_P_longicornis,Omega_P_longicornis,tau_stress_P_longicornis,tau_critical_P_longicornis,E_S_geminata,Omega_S_geminata,tau_stress_S_geminata,tau_critical_S_geminata,E_C_diversa,Omega_C_diversa,tau_stress_C_diversa,tau_critical_C_diversa,E_O_smaragdina,Omega_O_smaragdina,tau_stress_O_smaragdina,tau_critical_O_smaragdina,dominant,run_id,site
0.0,0.0,1.0,0.013656698846244408,0.01,0.001263888888888889,1.0,0.026679524268723883,0.0,0.0,1.0,0.16605166051660517,0.0,0.0,1.0,0.013649615690432017,S_geminata,47,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.016945348445741217,0.0,0.0003888888888888889,1.0,0.028029504741833508,0.0,0.0,1.0,0.11710794297352342,0.0,0.0,1.0,0.01883739743441581,P_longicornis,48,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01531058617672791,0.01,0.004033038720538721,1.0,0.011314709121858417,0.0,0.0,1.0,0.2234513274336283,0.0,0.0,1.0,0.024529946457477275,S_geminata,49,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.021318251033282574,0.01,0.005083333333333334,1.0,0.021793275217932753,0.0,0.0,1.0,0.16960093896713616,0.0,0.0,1.0,0.018542615484710475,S_geminata,50,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.02515344806835961,0.0,0.0005138888888888889,1.0,0.012678288431061807,0.0,0.0,1.0,0.15211709357030842,0.0,0.0,1.0,0.01263783917730145,P_longicornis,51,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.02383654937570942,0.0,0.0007777777777777778,1.0,0.025787965616045846,0.0,0.0,1.0,0.11026237130521421,0.0,0.0,1.0,0.02208835341365462,P_longicornis,52,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.017782983707805344,0.01,0.0026527777777777778,1.0,0.022601610243476573,0.0,0.0,1.0,0.12441314553990611,0.0,0.0,1.0,0.023552847433794235,S_geminata,53,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.020759493670886076,0.01,0.015695792633292634,1.0,0.022391615054787994,0.0,0.0,1.0,0.19170124481327802,0.0,0.0,1.0,0.019538188277087035,S_geminata,54,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.017274243507267095,0.02,0.002777777777777778,1.0,0.011680855276182935,0.0,0.0,1.0,0.09127351218008017,0.0,0.0,1.0,0.013686131386861315,S_geminata,55,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.012823347335839045,0.0,8.333333333333333e-05,1.0,0.02537219542881107,0.0,0.0,1.0,0.17110266159695817,0.0,0.0,1.0,0.019956117438094244,P_longicornis,56,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.020088026182146484,0.01,0.0012222222222222222,1.0,0.021144278606965175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01200785128738021,S_geminata,57,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.02030018356548969,0.0,0.007515768953268953,1.0,0.02297185430463576,0.0,0.0,1.0,0.1811320754716981,0.0,0.0,1.0,0.016342225426580148,P_longicornis,58,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.012534664448141986,0.03,0.012419216585883252,1.0,0.015665545410860165,0.0,0.0,1.0,0.09535759096612297,0.0,0.0,1.0,0.014855125753787321,S_geminata,59,"Mac Arthur Hiway, Val."
